bookid,title,authors,language,genre,prequel,sequel,age group
56,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,english,documentary,,,adult
57,Simply Beautiful Beaded Jewelry,Heidi Boyd,english,documentary,,,teen
58,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,english,documentary,,,child
59,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,english,documentary,,,adult
60,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,spanish,fiction,,,adult
61,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,english,reference,,,adult
62,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,english,fiction,,,teen
63,What to Expect the First Year (What to Expect),Heidi Murkoff,english,reference,,,adult
64,The Player's Handbook,Heidi Fleiss/Libby Keatinge,spanish,reference,,,adult
65,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,spanish,reference,,,adult
